name,exchange,root_ticker,GoogleFin_ticker
Rise Resources Inc.,Canadian Securities Exchange,UPP,CNSX:UPP
River Wild Exploration Inc. ,Canadian Securities Exchange,RWI,CNSX:RWI
RIWI Corp. ,Canadian Securities Exchange,RIW,CNSX:RIW
"Robix Environmental Technologies, Inc.",Canadian Securities Exchange,RZX,CNSX:RZX
Rockex Mining Corporation ,Canadian Securities Exchange,RXM,CNSX:RXM
Rockshield Capital Corp.,Canadian Securities Exchange,RKS,CNSX:RKS
Seahawk Ventures Inc.,Canadian Securities Exchange,SHV,CNSX:SHV
SecureCom Mobile Inc. ,Canadian Securities Exchange,SCE,CNSX:SCE
Shamrock Enterprises Inc.,Canadian Securities Exchange,SRS,CNSX:SRS
Shoal Point Energy Ltd.,Canadian Securities Exchange,SHP,CNSX:SHP
Silk Road Finance Inc.,Canadian Securities Exchange,SFA,CNSX:SFA
Silver Phoenix Resources Inc.,Canadian Securities Exchange,SP,CNSX:SP
Silver Shield Resources Corp. ,Canadian Securities Exchange,SSR,CNSX:SSR
SponsorsOne Inc. ,Canadian Securities Exchange,SPO,CNSX:SPO
Squire Mining Ltd. ,Canadian Securities Exchange,SQR,CNSX:SQR
St-Georges Platinum and Base Metals Inc. ,Canadian Securities Exchange,SX,CNSX:SX
Starfire Minerals Inc. ,Canadian Securities Exchange,SFR,CNSX:SFR
Starrex International Ltd.,Canadian Securities Exchange,STX,CNSX:STX
Stina Resource,Canadian Securities Exchange,SQA,CNSX:SQA
Stompy Bot Corporation ,Canadian Securities Exchange,BOT,CNSX:BOT
Stone Ridge Exploration ,Canadian Securities Exchange,SO,CNSX:SO
SunOil Ltd.,Canadian Securities Exchange,SOD,CNSX:SOD
Sino Rise Group Holding Corp.,Canadian Securities Exchange,SHD,CNSX:SHD
Super Nova Petroleum Corp.,Canadian Securities Exchange,SNP,CNSX:SNP
Supreme Pharmaceuticals Inc.,Canadian Securities Exchange,SL,CNSX:SL
Surrey Capital Corp. ,Canadian Securities Exchange,SYC,CNSX:SYC
SUSTAINCO INC.,Canadian Securities Exchange,SMS.DB,CNSX:SMS.DB
Taku Gold Corp.,Canadian Securities Exchange,TAK,CNSX:TAK
Talmora Diamond Inc.,Canadian Securities Exchange,TAI,CNSX:TAI
Tantalex Resources Corporation ,Canadian Securities Exchange,TTX,CNSX:TTX
Target Capital Inc. ,Canadian Securities Exchange,TCI,CNSX:TCI
Tartisan Resources Corp.,Canadian Securities Exchange,TTC,CNSX:TTC
Telferscot Resources Inc. ,Canadian Securities Exchange,TFS,CNSX:TFS
THC Biomed Intl Ltd.,Canadian Securities Exchange,THC,CNSX:THC
The Tinley Beverage Company Inc. ,Canadian Securities Exchange,TNY,CNSX:TNY
ThreeD Capital Inc. ,Canadian Securities Exchange,IDK,CNSX:IDK
Tier One Capital Limited Partnership ,Canadian Securities Exchange,TLP.UN,CNSX:TLP.UN
Torino Power Solutions Inc.,Canadian Securities Exchange,TPS,CNSX:TPS
True Leaf Medicine International Ltd. ,Canadian Securities Exchange,MJ,CNSX:MJ
True Zone Resources Inc.,Canadian Securities Exchange,TAZ,CNSX:TAZ
Umbral Energy Corp.  ,Canadian Securities Exchange,UMB,CNSX:UMB
United Coal Holdings Limited,Canadian Securities Exchange,UCL ,CNSX:UCL 
"UpSnap, Inc.",Canadian Securities Exchange,UP,CNSX:UP
Urbana Corporation,Canadian Securities Exchange,URB,CNSX:URB
Velocity Data Inc.,Canadian Securities Exchange,VCT,CNSX:VCT
Veritas Pharma Inc.,Canadian Securities Exchange,VRT,CNSX:VRT
Versus Systems Inc.,Canadian Securities Exchange,VS,CNSX:VS
Victory Nickel Inc.,Canadian Securities Exchange,NI,CNSX:NI
Vinergy Resources Ltd.,Canadian Securities Exchange,VIN,CNSX:VIN
VirtualArmor International Inc.,Canadian Securities Exchange,VAI,CNSX:VAI
Vodis Pharmaceuticals Inc. ,Canadian Securities Exchange,VP,CNSX:VP
Wabi Exploration Inc.,Canadian Securities Exchange,WAB,CNSX:WAB
West Isle Energy Inc.,Canadian Securities Exchange,WEI,CNSX:WEI
West Red Lake Gold Mines Inc.,Canadian Securities Exchange,RLG,CNSX:RLG
Western Uranium Corporation,Canadian Securities Exchange,WUC,CNSX:WUC
Weststar Resources Corp. ,Canadian Securities Exchange,WER,CNSX:WER
Whitewater Capital Corp.,Canadian Securities Exchange,WW,CNSX:WW
Wildflower Marijuana Inc.,Canadian Securities Exchange,SUN,CNSX:SUN
Winston Gold Mining Corp. ,Canadian Securities Exchange,WGC,CNSX:WGC
Winston Resources Inc. ,Canadian Securities Exchange,WRW,CNSX:WRW
World Mahjong Limited ,Canadian Securities Exchange,WSM,CNSX:WSM
Worldwide Marijuana Inc.,Canadian Securities Exchange,WWM,CNSX:WWM
Zara Resources Inc. ,Canadian Securities Exchange,ZRI,CNSX:ZRI
Ztest Electronics Inc,Canadian Securities Exchange,ZTE,CNSX:ZTE
